url;Pases;Pases_link;In Migrant Es 1;In Migrant Es 2;In Migrant Es 3;In Migrant Es 4;
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Australia [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/australia?anio=1990;2.013.196;1.942.017;3.955.213;23;4%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Austria [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/austria?anio=1990;368.287;424.952;793.239;10;29%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Azerbaiyán [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/azerbaiyan?anio=1990;157.856;202.744;360.600;5;4%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Bahamas [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/bahamas?anio=1990;13.827;13.028;26.855;10;53%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Bangladés [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/banglades?anio=1990;476.097;405.520;881.617;0;82%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Barbados [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/barbados?anio=1990;10.065;13.959;24.024;9;61%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Baréin [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/barein?anio=1990;122.730;50.482;173.212;35;49%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Bélgica [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/belgica?anio=1990;487.446;417.082;904.528;9;6%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Belice [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/belice?anio=1990;16.393;14.011;30.404;16;9%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Benín [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/benin?anio=1990;40.092;36.120;76.212;1;53%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Bielorrusia [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/bielorrusia?anio=1990;572.021;676.956;1.248.977;12;26%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Birmania - Myanmar [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/birmania?anio=1990;72.310;61.235;133.545;0;33%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Bolivia [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/bolivia?anio=1990;37.549;36.209;73.758;1;10%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Bosnia y Herzegovina [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/bosnia-herzegovina?anio=1990;26.538;29.462;56.000;1;24%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Botsuana [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/botsuana?anio=1990;16.614;10.896;27.510;1;99%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Brasil [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/brasil?anio=1990;426.147;372.370;798.517;0;54%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Brunéi [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/brunei?anio=1990;41.856;31.344;73.200;28;93%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Bulgaria [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/bulgaria?anio=1990;9.047;12.463;21.510;0;25%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Burkina Faso [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/burkina-faso?anio=1990;167.836;181.821;349.657;3;97%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Burundi [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/burundi?anio=1990;163.267;169.843;333.110;6;15%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Bután [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/butan?anio=1990;19.409;4.398;23.807;4;44%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Cabo Verde [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/cabo-verde?anio=1990;4.429;4.502;8.931;2;52%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Camboya [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/camboya?anio=1990;19.084;19.291;38.375;0;43%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Camerún [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/camerun?anio=1990;145.527;119.817;265.344;2;27%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Canadá [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/canada?anio=1990;2.109.652;2.223.666;4.333.318;15;68%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Catar [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/catar?anio=1990;225.932;83.821;309.753;64;94%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Chad [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/chad?anio=1990;40.133;34.209;74.342;1;32%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Chile [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/chile?anio=1990;54.547;52.954;107.501;0;82%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;China [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/china?anio=1990;191.954;184.407;376.361;0;3%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Chipre [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/chipre?anio=1990;20.463;23.342;43.805;7;46%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Colombia [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/colombia?anio=1990;53.109;51.168;104.277;0;31%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Comoras [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/comoras?anio=1990;6.717;7.362;14.079;3;5%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Corea del Norte [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/corea-del-norte?anio=1990;17.393;16.710;34.103;0;17%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Corea del Sur [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/corea-del-sur?anio=1990;24.211;18.806;43.017;0;10%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Costa de Marfil [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/costa-marfil?anio=1990;1.011.749;804.677;1.816.426;16;15%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Costa Rica [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/costa-rica?anio=1990;212.173;205.455;417.628;13;69%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Croacia [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/croacia?anio=1990;222.531;252.907;475.438;9;94%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Cuba [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/cuba?anio=1990;17.278;17.277;34.555;0;33%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Dinamarca [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/dinamarca?anio=1990;114.411;120.778;235.189;4;57%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Dominica [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/dominica?anio=1990;1.309;1.210;2.519;3;55%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Ecuador [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/ecuador?anio=1990;38.531;40.132;78.663;0;75%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Egipto [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/egipto?anio=1990;91.928;81.780;173.708;0;34%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;El Salvador [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/el-salvador?anio=1990;22.218;25.142;47.360;0;90%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Emiratos Árabes Unidos [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/emiratos-arabes-unidos?anio=1990;932.046;374.528;1.306.574;70;86%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Eritrea [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/eritrea?anio=1990;6.228;5.620;11.848;0;38%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Eslovaquia [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/eslovaquia?anio=1990;18.187;23.108;41.295;0;78%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Eslovenia [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/eslovenia?anio=1990;89.514;88.563;178.077;8;90%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;España [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/espana?anio=1990;390.448;431.157;821.605;2;11%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Estado de Palestina [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/palestina?anio=1990;132.101;156.231;288.332;14;58%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Estados Federados de Micronesia [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/micronesia?anio=1990;2.099;1.586;3.685;3;83%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Estados Unidos [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/usa?anio=1990;11.372.985;11.878.041;23.251.026;9;31%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Estonia [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/estonia?anio=1990;171.691;210.306;381.997;24;37%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Etiopía [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/etiopia?anio=1990;607.284;548.106;1.155.390;2;47%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Filipinas [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/filipinas?anio=1990;81.347;72.724;154.071;0;25%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Finlandia [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/finlandia?anio=1990;31.682;31.573;63.255;1;27%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Fiyi [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/fiyi?anio=1990;6.847;6.436;13.283;1;80%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Francia [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/francia?anio=1990;2.999.376;2.897.891;5.897.267;10;11%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Gabón [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/gabon?anio=1990;73.053;54.927;127.980;13;76%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Gambia [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/gambia?anio=1990;66.306;51.817;118.123;13;80%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Georgia [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/georgia?anio=1990;133.285;171.185;304.470;6;34%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Ghana [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/ghana?anio=1990;83.030;81.821;164.851;1;13%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Granada [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/granada?anio=1990;2.106;2.157;4.263;4;44%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Grecia [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/grecia?anio=1990;330.038;288.101;618.139;6;2%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Guatemala [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/guatemala?anio=1990;112.615;151.642;264.257;2;85%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Guinea [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/guinea?anio=1990;201.260;202.361;403.621;6;70%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Guinea Ecuatorial [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/guinea-ecuatorial?anio=1990;1.465;1.275;2.740;0;73%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Guinea-Bisáu [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/guinea-bisau?anio=1990;7.689;7.679;15.368;1;60%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Guyana [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/guyana?anio=1990;2.200;1.895;4.095;0;57%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Haiti [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/haiti?anio=1990;10.606;8.478;19.084;0;27%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Holanda [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/holanda?anio=1990;592.343;589.920;1.182.263;7;88%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Honduras [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/honduras?anio=1990;137.573;132.850;270.423;5;52%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Hong Kong [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/hong-kong?anio=1990;1.124.544;1.093.929;2.218.473;38;30%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Hungría [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/hungria?anio=1990;156.185;191.325;347.510;3;35%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;India [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/india?anio=1990;3.914.396;3.578.808;7.493.204;0;88%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Indonesia [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/indonesia?anio=1990;229.885;235.727;465.612;0;26%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Irak [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/irak?anio=1990;55.751;27.887;83.638;0;48%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Irán [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/iran?anio=1990;2.456.700;1.834.901;4.291.601;7;88%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Irlanda [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/irlanda?anio=1990;112.093;115.868;227.961;6;47%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Islandia [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/islandia?anio=1990;4.248;5.336;9.584;3;75%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Islas Marshall [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/islas-marshall?anio=1990;721;437;1.158;2;45%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Islas Salomón [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/islas-salomon?anio=1990;2.349;1.877;4.226;1;35%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Israel [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/israel?anio=1990;770.777;861.927;1.632.704;35;5%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Italia [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/italia?anio=1990;642.414;785.807;1.428.221;2;52%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Jamaica [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/jamaica?anio=1990;9.981;10.494;20.475;0;87%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Japón [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/japon?anio=1990;547.986;527.640;1.075.626;0;87%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Jordania [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/jordania?anio=1990;586.473;559.876;1.146.349;32;19%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Kazajistán [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/kazajistan?anio=1990;1.666.164;1.953.036;3.619.200;22;14%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Kenia [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/kenia?anio=1990;160.852;136.440;297.292;1;35%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Kirguistán [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/kirguistan?anio=1990;260.416;362.667;623.083;14;19%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Kiribati [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/kiribati?anio=1990;1.107;1.055;2.162;3;0%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Kuwait [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/kuwait?anio=1990;654.878;419.513;1.074.391;50;44%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Laos [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/laos?anio=1990;11.806;11.060;22.866;0;56%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Lesoto [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/lesoto?anio=1990;4.318;3.922;8.240;0;51%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Letonia [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/letonia?anio=1990;290.800;355.207;646.007;24;30%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Líbano [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/libano?anio=1990;267.922;255.771;523.693;19;37%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Liberia [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/liberia?anio=1990;53.924;41.040;94.964;4;53%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Libia [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/libia?anio=1990;242.707;214.368;457.075;10;73%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Liechtenstein [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/liechtenstein?anio=1990;5.956;4.950;10.906;37;57%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Lituania [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/lituania?anio=1990;164.585;184.673;349.258;9;43%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Luxemburgo [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/luxemburgo?anio=1990;56.062;57.733;113.795;29;60%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Madagascar [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/madagascar?anio=1990;13.348;10.569;23.917;0;21%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Malasia [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/malasia?anio=1990;405.808;290.112;695.920;3;81%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Malaui [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/malaui?anio=1990;546.520;581.204;1.127.724;11;23%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Maldivas [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/maldivas?anio=1990;4.777;3.912;8.689;4;10%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Malí [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/mali?anio=1990;82.049;78.687;160.736;1;90%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Malta [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/malta?anio=1990;7.012;8.065;15.077;4;17%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Marruecos [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/marruecos?anio=1990;29.024;25.871;54.895;0;23%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Mauricio [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/mauricio?anio=1990;1.763;1.850;3.613;0;34%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Mauritania [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/mauritania?anio=1990;57.569;54.081;111.650;5;59%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;México [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/mexico?anio=1990;348.353;347.321;695.674;0;80%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Moldavia [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/moldavia?anio=1990;239.616;304.546;544.162;14;72%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Mónaco [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/monaco?anio=1990;9.471;10.888;20.359;69;16%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Mongolia [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/mongolia?anio=1990;3.419;3.299;6.718;0;32%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Mozambique [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/mozambique?anio=1990;66.060;56.272;122.332;0;90%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Namibia [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/namibia?anio=1990;63.748;56.893;120.641;8;97%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Nauru [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/nauru?anio=1990;1.506;1.309;2.815;30;75%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Nepal [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/nepal?anio=1990;125.966;304.008;429.974;2;29%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Nicaragua [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/nicaragua?anio=1990;20.860;20.561;41.421;1;0%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Níger [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/niger?anio=1990;55.222;60.242;115.464;1;53%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Nigeria [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/nigeria?anio=1990;256.166;200.455;456.621;0;50%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Noruega [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/noruega?anio=1990;99.562;93.025;192.587;4;53%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Nueva Zelanda [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/nueva-zelanda?anio=1990;258.223;259.824;518.047;15;13%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Omán [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/oman?anio=1990;242.477;61.523;304.000;16;49%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Pakistán [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/pakistan?anio=1990;3.264.380;2.943.824;6.208.204;5;87%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Palaos [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/palaos?anio=1990;1.800;1.001;2.801;18;56%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Panamá [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/panama?anio=1990;33.148;29.596;62.744;2;54%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Papúa Nueva Guinea [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/papua-nueva-guinea?anio=1990;18.793;13.927;32.720;0;87%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Paraguay [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/paraguay?anio=1990;102.816;93.068;195.884;4;73%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Perú [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/peru?anio=1990;32.538;32.487;65.025;0;30%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Polonia [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/polonia?anio=1990;482.176;645.595;1.127.771;2;95%
https://datosmacro.expansion.com/demografia/migracion/inmigracion?anio=1990;Portugal [+];https://datosmacro.expansion.com/demografia/migracion/inmigracion/portugal?anio=1990;209.922;225.860;435.782;4;37%
